"Ancestry","AUC_Type","AUC","Lower_CI","Upper_CI"
"All Ancestry","Reverse MR Prediction",0.522623612728185,0.504967412082265,0.540279813374106
"All Ancestry","Observational Prediction",0.623928162622897,0.596374727368025,0.651481597877769
"SAS","Reverse MR Prediction",0.578125,0.398512384487442,0.757737615512558
"SAS","Observational Prediction",0.788333333333333,0.404976270942381,1
"EUR","Reverse MR Prediction",0.521426791335695,0.503490099733294,0.539363482938096
"EUR","Observational Prediction",0.627913622964259,0.600264513342388,0.65556273258613
"AFR","Reverse MR Prediction",0.637566137566138,0.490414587091107,0.784717688041168
"AFR","Observational Prediction",0.58296943231441,0.333380776075613,0.832558088553208
"EAS","Reverse MR Prediction",0.765765765765766,0.603933633900143,0.927597897631388
"EAS","Observational Prediction",0.729885057471264,0.480755331832419,0.97901478311011
